space_nbr|space_name|space_type|redirect_space|positive_negative|cat_change|X|Y
1|Start|Start||neutral||272|75
2|Find a cat curled up in a wheelbarrow|Gain 1 cat||positive|1|307|56
3|Bribe a skittish cat with tuna treats|Gain 1 cat||positive|1|356|54
4|Beware of dog|Lose 1 cat||negative|-1|388|90
5|Pick up a stray|Gain 1 cat||positive|1|426|120
6|Spin again|Spin again||neutral||459|151
7|Save a cat stuck in tree|Gain 1 cat||positive|1|435|180
8|Stop to pick some catnip|Lose turn||negative||379|182
9|Park: cat chases butterfly|Lose 1 cat||negative|-1|345|217
10|Cat more interested in empty cardboard box|Lose 1 cat||negative|-1|393|242
11|Pick up friend's cat to catsit for a few days|Take one cat from any player||positive|1|445|233
12|Kitty litter emergency|Go directly to supermarket|20|positive||475|268
13|Spin again|Spin again||neutral||473|321
14|Find a stray by the railroad tracks|Gain 1 cat||positive|1|455|371
15|Kitten distracted by bit of fluff|Lose 1 cat||negative|-1|419|409
16|Forgot cat food coupons|Go back to start|1|negative||378|440
17|Fall in love with neighborhood cat|Take one cat from any player||positive|1|327|448
18|Pursue a mangy cat|Go back to park|9|negative||287|415
19|Milk truck spill|Lose 3 cats||negative|-3|271|366
20|Supermarket: family giving away free kittens in front of store|Spin and gain that many cats||positive|3.5|249|299
21|Sick cat|Go directly to veterinarian|26|negative||205|336
22|Stop to pet a cat|Lose next turn||negative||206|388
23|Pet store: adorable kittens in the pet store window|Spin to see how many cats you adopt||positive|3.5|215|449
24|Spin again|Spin again||neutral||137|444
25|Wildcat|Select a Wildcat card||neutral||91|416
26|Veterinarian: cats get mysterious rash|Spin to see how many cats to put back in the game tray||negative|-3.5|112|365
27|Kitten falls from sky into your pocket|Gain 1 cat||positive|1|45|321
28|Decision point|Take the left path if the player has at least 10 cats; otherwise, take the right path||neutral||79|280
29|Hear the meows of caged cats|Go directly to animal shelter|33|positive||128|258
30|Catnip in your pocket lures cats|Steal one cat from each player||positive|3|151|216
31|Spin again|Spin again||neutral||166|168
32|Rescue grumpy old cat from pound|Gain 1 cat from shelter||positive|1|218|153
33|Animal shelter|Rescue all cats currently in the shelter||positive|20|280|151
34|Forgot flea collars|Go back to vet|26|negative||51|234
35|Cat fight!|Lose 2 cats||negative|-2|33|193
36|Find a feral cat in a dumpster|Gain 1 cat||positive|1|44|144
37|Hairball|Lose next turn||negative||76|101
38|Animal control confiscates half your cats|Lose half of your cats and go back to start|1|negative|-20|117|67
39|Mama cat had kittens!|Spin to determine how many cats you get in the litter||positive|3.5|167|43
40|Home|Game ends||neutral||180|90
